value,description
Sabine Pass,
Plaquemines,
Calcasieu Pass,
Corpus Christi,
Cameron,
Freeport,
Golden Pass,
Cove Point,
Elba Island,
Gate (Rotterdam),
Eemshaven FSRU,
Zeebrugge,
Dunkerque,
Isle of Grain,
South Hook,
Wilhelmshaven 1 FSRU,
Wilhelmshaven 2 FSRU,
Brunsbuttel FSRU,
Lubmin II FSRU,
Sines,
Barcelona,
Huelva,
Cartagena,
Sagunto,
Bilbao,
Adriatic LNG,
Piombino FSRU,
Ravenna FSRU,
Swinoujscie,
Klaipeda FSRU,
Krk (LNG Croatia),
Revithoussa,
Alexandroupolis FSRU,
Nigeria LNG (Bonny),
Arzew / Bethioua,
Skikda,
Idku,
Damietta,
Atlantic LNG (Pt Fortin),
